count,mean_Earnings,std_Earnings
945,84390.61375661376,42853.130060461604
154,85905.84415584416,66653.03119086035
1038,85910.73217726397,92576.05740925772
312,87788.94230769231,79559.47348408098
4880,88004.68032786885,92082.56051412193
2025,88097.89135802469,43108.77694566431
77,88574.02597402598,58833.73853629576
478,88867.78242677824,36799.042458869335
1250,88905.3584,93591.33823782875
1273,89346.09269442262,74507.52912062789
359,89509.55431754874,54599.991408533984
1482,90342.52091767882,79346.52467286953
97,90355.67010309278,34388.97282400326
460,91395.43478260869,38724.948762694294
831,92410.26474127558,55721.05171320993
2570,92907.28171206226,57043.36881076245
603,93742.68656716419,85058.5568150245
438,95017.35159817351,79864.18001371343
105,98062.85714285714,65425.62168239192
453,98758.25607064017,116134.01267427258
292,99711.98630136986,53726.51594537541
4496,100022.6859430605,56900.20721783729
1690,102356.9349112426,56626.570667655185
456,104803.48684210527,71311.26958940338
2404,106926.18552412646,63719.8232169186
71,110228.1690140845,73937.56668027153
304,113066.94078947368,64585.43476419163
505,113803.78217821782,60385.33964300992
1835,116122.87738419618,116295.86226115789
301,121848.67109634551,89534.09110628269
1130,130472.74336283185,97564.62817055204
337,145268.84272997032,105113.47047426814
2825,146967.46548672568,148283.85967018566
1874,151577.6152614728,163188.46424002026
8874,156727.0739238224,135097.47769384919
67,174783.58208955225,137227.9739979436
1224,188562.70506535948,141456.3948276375
7405,231459.67832545578,166980.91397517134
