yyyymm,px1_mean,share_more,share_same,share_less,unrate
201005,4.1,26,53,21,9.6
201006,3.3,26,51,22,9.4
201007,3.3,31,48,20,9.4
201008,3.2,31,50,19,9.5
201009,3.0,30,53,16,9.5
201010,3.3,30,51,17,9.4
201011,3.7,28,51,20,9.8
201012,3.9,25,54,20,9.3
201101,4.2,22,56,21,9.1
201102,4.4,22,48,28,9.0
201103,5.2,27,50,22,9.0
201104,5.3,29,49,21,9.1
201105,4.8,22,52,25,9.0
201106,4.5,26,53,21,9.1
201107,4.4,31,55,14,9.0
201108,4.4,43,45,12,9.0
201109,4.3,35,54,10,9.0
201110,4.0,34,53,12,8.8
201111,4.0,26,58,16,8.6
201112,3.7,29,52,18,8.5
201201,4.0,25,52,23,8.3
201202,4.1,25,46,29,8.3
201203,4.7,19,51,29,8.2
201204,3.8,22,53,24,8.2
201205,3.6,22,50,27,8.2
201206,3.7,27,49,23,8.2
201207,3.9,26,52,21,8.2
201208,4.3,25,53,21,8.1
201209,4.3,20,53,27,7.8
201210,4.2,19,49,30,7.8
201211,4.0,24,42,30,7.7
201212,4.0,35,40,25,7.9
201301,4.5,31,47,22,8.0
201302,4.4,27,48,23,7.7
201303,4.0,31,43,25,7.5
201304,4.0,29,47,23,7.6
201305,4.2,26,48,25,7.5
201306,3.8,23,52,24,7.5
201307,4.1,23,56,21,7.3
201308,4.2,28,45,26,7.2
201309,4.1,32,45,22,7.2
201310,3.6,30,50,19,7.2
201311,3.7,35,44,21,6.9
201312,3.8,26,52,22,6.7
201401,4.0,29,46,23,6.6
201402,4.3,34,47,18,6.7
201403,4.2,30,54,15,6.7
201404,4.0,26,53,21,6.2
201405,4.4,23,48,28,6.3
201406,3.7,24,53,22,6.1
201407,4.0,28,48,22,6.2
201408,4.0,26,52,21,6.1
201409,3.8,29,49,21,5.9
201410,3.5,22,52,25,5.7
201411,3.0,19,53,28,5.8
201412,3.0,21,52,27,5.6
201501,2.7,19,52,29,5.7
201502,3.1,24,45,30,5.5
201503,3.5,21,51,27,5.4
201504,3.2,20,51,28,5.4
201505,3.4,22,53,24,5.6
201506,3.5,20,54,25,5.3
201507,3.7,25,53,21,5.2
201508,3.5,25,51,24,5.1
201509,3.1,27,52,19,5.0
201510,3.5,27,52,20,5.0
201511,3.2,21,55,22,5.1
201512,3.0,25,53,21,5.0
201601,3.1,29,52,18,4.8
201602,2.9,26,54,19,4.9
201603,3.3,26,54,20,5.0
201604,3.3,31,52,16,5.1
201605,3.0,24,54,21,4.8
201606,3.1,28,54,18,4.9
201607,3.2,31,51,17,4.8
201608,3.0,27,51,20,4.9
201609,3.0,26,52,20,5.0
201610,3.0,27,51,20,4.9
201611,3.0,26,50,23,4.7
201612,2.8,22,48,28,4.7
201701,3.1,22,43,33,4.7
201702,3.3,26,38,35,4.6
201703,3.2,25,37,36,4.4
201704,2.9,23,41,36,4.4
201705,3.0,25,44,30,4.4
201706,3.3,27,43,30,4.3
201707,3.0,27,48,24,4.3
201708,3.1,25,46,29,4.4
201709,3.3,25,47,28,4.3
201710,3.0,23,47,29,4.2
201711,2.9,22,49,29,4.2
201712,3.2,25,46,29,4.1
201801,3.0,26,43,31,4.0
201802,3.1,23,42,35,4.1
201803,3.3,22,45,32,4.0
201804,3.3,25,46,28,4.0
201805,3.3,24,51,24,3.8
201806,3.7,22,47,30,4.0
201807,3.7,26,44,29,3.8
201808,3.7,25,45,30,3.8
201809,3.3,20,50,29,3.7
201810,3.7,23,46,29,3.8
201811,3.3,22,50,27,3.8
201812,3.3,30,47,22,3.9
201901,2.9,33,47,19,4.0
201902,3.1,31,46,23,3.8
201903,2.9,22,52,25,3.8
201904,3.1,24,49,27,3.6
201905,3.4,22,53,25,3.6
201906,3.5,27,49,24,3.6
201907,3.2,25,51,23,3.7
201908,3.4,30,51,19,3.7
201909,3.3,31,48,20,3.5
201910,3.0,32,48,20,3.6
201911,3.1,23,53,23,3.6
201912,2.8,31,46,23,3.6
202001,2.9,21,53,26,3.5
202002,2.8,23,56,21,3.5
202003,2.5,39,39,21,4.4
