YYYYQ,GDP,GDPC1,GDPPOT,PCESV,GPDI,PIRIC,PRS85006023,CPIAUCSL,PCEND,UNRATE,CUMFNS,FEDFUNDS,CE16OV,CNP16OV
19684,968.03,4847.885,4710.9814,282.144,160.76,2.9333,112.889,35.4333,205.0,3.4,87.0991,5.9167,76498.6667,132880.0
19691,993.337,4923.76,4761.7534,288.161,172.388,2.9202,112.809,35.8667,208.8333,3.4,87.6714,6.5667,77166.3333,133476.0
19692,1009.02,4938.728,4810.6972,295.673,172.721,2.9033,112.65,36.4333,212.2333,3.4333,86.924,8.3267,77605.0,134020.3333
19693,1029.956,4971.349,4857.3564,302.01,177.564,2.8861,112.416,36.9333,215.9667,3.5667,86.843,8.9833,78153.0,134595.0
19694,1038.147,4947.104,4902.0822,309.998,171.573,2.8856,111.973,37.5,219.7333,3.5667,85.1773,8.94,78575.3333,135246.6667
19701,1051.2,4939.759,4945.1206,317.59,168.113,2.8735,111.487,38.1,224.5,4.1667,81.8428,8.5733,78780.3333,135949.6667
19702,1067.375,4946.77,4986.3386,324.016,171.455,2.8871,110.699,38.6333,226.5667,4.7667,80.446,7.8867,78635.6667,136676.6667
19703,1086.059,4992.357,5026.2052,331.755,173.904,2.8627,110.177,39.0333,229.7,5.1667,79.1387,6.7067,78616.0,137456.0
19704,1088.608,4938.857,5065.0472,338.361,166.754,2.8629,110.078,39.6,234.4667,5.8333,76.4018,5.5667,78643.0,138260.3333
19711,1135.156,5072.996,5103.9317,345.307,189.495,2.8778,110.102,39.9333,235.8,5.9333,77.5462,3.8567,78717.3333,139033.6667
19712,1156.271,5100.447,5143.6084,353.404,197.329,2.8727,110.062,40.3,238.8333,5.9,77.6773,4.5667,78961.0,139827.3333
19713,1177.675,5142.422,5183.8731,361.732,202.058,2.8571,109.872,40.7,240.4,6.0333,77.4289,5.4767,79511.0,140602.6667
19714,1190.297,5154.547,5224.7492,370.843,198.411,2.8476,110.266,41.0,243.6,5.9333,79.1621,4.75,80228.6667,141401.6667
19721,1230.609,5249.337,5266.3945,381.204,212.968,2.8542,110.289,41.3333,247.0333,5.7667,81.8018,3.5467,81213.3333,143005.3333
19722,1266.369,5368.485,5308.6412,388.996,226.798,2.8588,110.266,41.6,254.3,5.7,82.8565,4.3,81875.0,143758.6667
19723,1290.566,5419.184,5351.5746,398.123,233.09,2.8571,110.179,41.9333,260.1,5.5667,83.3599,4.7433,82450.3333,144522.6667
19724,1328.904,5509.926,5395.2241,409.029,239.715,2.8505,110.034,42.3667,268.0667,5.3667,85.7091,5.1467,83002.0,145215.0
19731,1377.49,5646.286,5439.8896,417.739,254.313,2.8328,109.922,43.0333,275.4333,4.9333,87.6636,6.5367,83841.6667,145964.3333
19732,1413.887,5707.755,5486.6967,427.847,268.196,2.8075,109.874,43.9333,281.4,4.9333,87.6192,7.8167,84797.3333,146719.6667
19733,1433.838,5677.738,5534.0687,438.16,264.335,2.7838,109.878,44.8,289.9,4.8,87.3638,10.56,85330.3333,147478.3333
19734,1476.289,5731.632,5582.5199,448.011,280.858,2.7333,109.557,45.9333,297.7,4.7667,88.1166,9.9967,86236.0,148226.0
19741,1491.209,5682.353,5631.5986,456.362,268.361,2.6739,108.769,47.3,308.8667,5.1333,86.5609,9.3233,86709.3333,148986.6667
19742,1530.056,5695.859,5680.9704,471.822,277.391,2.6617,108.454,48.5667,318.0,5.2,85.7211,11.25,86833.6667,149746.6667
19743,1560.026,5642.025,5729.7526,485.284,271.013,2.6938,108.142,49.9333,327.6667,5.6333,84.7454,12.09,87079.0,150498.0
19744,1599.679,5620.126,5777.8023,501.022,281.339,2.7302,107.415,51.4667,330.9,6.6,80.4802,9.3467,86588.3333,151253.0
19751,1616.116,5551.713,5824.5431,517.197,244.306,2.7645,106.529,52.5667,336.2,8.2667,73.5116,6.3033,85356.6667,151987.3333
19752,1651.853,5591.382,5870.2553,532.041,243.281,2.7969,106.394,53.2,344.8333,8.8667,71.9256,5.42,85331.6667,152707.6667
19753,1709.82,5687.087,5915.5758,544.44,265.192,2.7711,106.594,54.2667,355.9333,8.4667,73.8461,6.16,86135.6667,153579.0
19754,1761.831,5763.665,5960.948,563.172,276.236,2.7563,107.153,55.2667,359.6667,8.3,75.3242,5.4133,86497.0,154336.3333
19761,1820.487,5893.276,6006.2049,579.174,304.638,2.7416,107.512,55.9,367.4333,7.7333,77.3502,4.8267,87685.6667,155075.0
19762,1852.332,5936.515,6052.324,590.571,322.303,2.7448,106.766,56.4,373.1,7.5667,78.0969,5.1967,88591.0,155773.6667
19763,1886.558,5969.089,6099.8266,608.353,328.307,2.7215,106.57,57.3,380.6,7.7333,78.6868,5.2833,89163.0,156526.6667
19764,1934.273,6012.356,6148.0796,627.345,337.65,2.7058,106.34,58.1333,389.5667,7.7667,79.3082,4.8733,89570.3333,157222.0
19771,1988.648,6083.391,6197.9564,647.814,360.313,2.6821,106.198,59.2,396.4333,7.5,80.6792,4.66,90359.3333,157910.6667
19772,2055.909,6201.659,6249.0099,663.054,389.703,2.6556,106.383,60.2333,403.7,7.1333,82.8604,5.1567,91661.3333,158652.3333
19773,2118.473,6313.559,6300.8389,683.003,414.134,2.6552,106.152,61.0667,409.9,6.9,83.1817,5.82,92409.0,159429.6667
19774,2164.27,6313.697,6354.0847,700.494,422.299,2.6657,105.993,61.9667,423.6333,6.6667,83.2387,6.5133,93639.3333,160140.3333
19781,2202.76,6333.848,6408.7339,724.811,434.799,2.6718,105.219,63.0333,431.0667,6.3333,82.637,6.7567,94552.6667,160828.6667
19782,2331.633,6578.605,6464.4701,750.386,470.584,2.6608,106.187,64.4667,444.8,6.0,84.7155,7.2833,95835.3333,161525.3333
19783,2395.053,6644.754,6521.7113,769.856,492.368,2.65,106.015,65.9667,455.6,6.0333,84.797,8.1,96397.0,162265.0
19784,2476.949,6734.069,6580.0271,789.689,515.755,2.6302,105.889,67.5,469.4,5.9,85.7337,9.5833,97399.6667,163024.0
19791,2526.61,6746.176,6639.9792,809.273,525.809,2.6027,105.409,69.2,484.5667,5.8667,85.3371,10.0733,98252.3333,163756.3333
19792,2591.247,6753.389,6697.9387,835.468,539.293,2.5661,104.811,71.4,500.0667,5.7,84.3488,10.18,98371.0,164447.3333
19793,2667.565,6803.558,6757.0171,858.589,545.621,2.5323,105.139,73.7,522.3333,5.8667,83.5143,10.9467,99040.6667,165199.6667
19794,2723.883,6820.572,6807.4314,886.599,547.875,2.5076,105.098,76.0333,539.4,5.9667,82.9414,13.5767,99637.0,166054.6667
19801,2789.842,6842.024,6853.9741,910.301,554.562,2.4907,104.531,79.0333,559.9333,6.3,82.551,15.0467,99862.3333,166762.3333
19802,2797.352,6701.046,6896.0535,926.892,519.294,2.4827,103.661,81.7,565.9,7.3333,77.8801,12.6867,98953.3333,167415.6667
19803,2856.483,6693.082,6933.63,961.909,495.071,2.4702,103.47,83.2333,576.5,7.6667,75.7289,9.8367,98899.0,168110.6667
19804,2985.557,6817.903,6973.2988,1004.394,551.472,2.4535,103.969,85.5667,591.2333,7.4,78.5143,15.8533,99498.6667,168693.6667
19811,3124.206,6951.495,7017.0829,1025.643,619.381,2.4378,104.088,87.9333,614.0667,7.4333,78.0007,16.57,100239.0,169279.0
19812,3162.532,6899.98,7064.0682,1053.74,609.843,2.4493,103.669,89.7667,622.8667,7.4,77.9005,17.78,100800.6667,169837.3333
19813,3260.609,6982.609,7113.6671,1077.047,652.297,2.4495,103.244,92.2667,629.1333,7.4,77.2097,17.5767,100482.0,170412.6667
19814,3280.818,6906.529,7165.8463,1101.901,643.395,2.4584,103.309,93.7667,635.7,8.2333,74.6717,13.5867,100076.6667,170990.3333
19821,3274.302,6799.233,7219.8608,1127.862,588.318,2.4599,102.341,94.6,639.8667,8.8333,72.4271,14.2267,99708.6667,171497.0
19822,3331.972,6830.251,7275.1977,1151.697,593.621,2.4655,103.04,95.9667,638.7,9.4333,71.6318,14.5133,99745.0,172020.0
19823,3366.322,6804.139,7331.6461,1183.846,592.954,2.4384,103.032,97.6333,649.7333,9.9,70.6419,11.0067,99543.3333,172521.6667
19824,3402.561,6806.857,7389.1969,1224.459,549.242,2.4175,102.93,97.9333,656.7667,10.6667,68.9264,9.2867,99119.6667,173046.0
19831,3473.413,6896.561,7446.7071,1258.678,565.52,2.3998,103.308,98.0,657.0333,10.3667,70.2942,8.6533,99143.0,173505.0
19832,3578.848,7053.5,7505.6008,1286.806,613.783,2.3729,103.546,99.1333,673.0333,10.1333,72.2148,8.8033,99945.0,173957.3333
19833,3689.179,7194.504,7566.2177,1329.097,652.269,2.3397,104.3,100.1,688.4333,9.3667,74.6901,9.46,101610.6667,174449.3333
19834,3794.706,7344.597,7629.3462,1356.704,718.496,2.3249,104.359,101.1,696.5,8.5333,76.7528,9.43,102588.0,174950.3333
19841,3908.054,7488.167,7701.1611,1380.27,790.872,2.2808,104.713,102.5333,706.4667,7.8667,78.805,9.6867,103664.0,175678.6667
19842,4009.601,7617.547,7768.8625,1412.233,818.894,2.2612,104.869,103.5,722.4,7.4333,79.5818,10.5567,105040.0,176125.3333
19843,4084.25,7690.985,7838.097,1446.882,838.852,2.2434,104.475,104.4,724.6,7.4333,79.686,11.39,105362.6667,176595.3333
19844,4148.551,7754.117,7908.4099,1475.175,831.741,2.2305,104.354,105.3,732.7667,7.3,79.5398,9.2667,105944.3333,177132.3333
19851,4230.168,7829.26,7978.9846,1525.616,809.865,2.2096,104.402,106.2667,742.3667,7.2333,78.8659,8.4767,106615.3333,177522.3333
19852,4294.887,7898.194,8049.7445,1555.754,827.04,2.1916,104.515,107.2333,752.7667,7.3,78.3372,7.9233,106791.0,177946.3333
19853,4386.773,8018.809,8120.3593,1597.213,822.157,2.1729,104.308,107.9,760.4667,7.2,77.775,7.9,107186.3333,178413.3333
19854,4444.094,8078.415,8190.5228,1622.303,859.545,2.1624,104.14,109.0,773.3667,7.0333,77.7767,8.1033,108023.3333,178940.6667
19861,4507.894,8153.829,8260.076,1652.771,863.457,2.1462,103.889,109.5667,779.2667,7.0333,78.387,7.8267,108734.6667,179825.3333
19862,4545.34,8190.552,8329.2905,1676.713,855.237,2.159,103.282,109.0333,767.4333,7.1667,78.1791,6.92,109205.6667,180320.6667
19863,4607.669,8268.935,8398.3217,1700.452,835.832,2.1617,102.993,109.7,771.0667,6.9667,78.3772,6.2067,109970.0,180835.6667
19864,4657.627,8313.338,8467.2809,1732.668,842.063,2.1573,103.12,110.4667,779.0,6.8333,78.9446,6.2667,110492.0,181365.3333
19871,4722.156,8375.274,8535.8303,1767.634,871.196,2.1443,103.675,111.8,797.4,6.6,79.5409,6.22,111206.0,182001.3333
19872,4806.16,8465.63,8604.0969,1801.948,874.588,2.1283,103.509,113.0667,812.2667,6.2667,80.2908,6.65,112158.0,182526.6667
19873,4884.555,8539.075,8672.098,1836.16,876.466,2.1134,103.456,114.2667,820.6667,6.0,81.1952,6.8433,112866.6667,183016.0
19874,5007.994,8685.694,8740.3552,1874.186,946.459,2.1067,103.663,115.3333,826.8,5.8333,82.9278,6.9167,113526.6667,183467.0
19881,5073.372,8730.569,8808.2422,1923.07,908.569,2.0948,103.05,116.2333,838.4,5.7,83.2343,6.6633,114093.3333,183967.3333
19882,5190.036,8845.28,8876.3763,1964.954,934.525,2.0799,103.315,117.5667,853.5667,5.4667,83.9856,7.1567,114623.0,184389.3333
19883,5282.835,8897.107,8944.3285,2020.733,942.009,2.0619,103.127,119.0,870.7667,5.4667,84.0521,7.9833,115232.6667,184840.3333
19884,5399.509,9015.661,9012.2245,2062.056,962.748,2.0556,103.529,120.3,886.3333,5.3333,84.7809,8.47,115947.3333,185253.3333
19891,5511.253,9107.314,9079.7836,2101.195,1005.487,2.0385,103.707,121.6667,902.5333,5.2,84.905,9.4433,116835.3333,185772.6667
19892,5612.463,9176.827,9146.9441,2132.674,1001.047,2.0136,103.788,123.6333,927.7667,5.2333,83.8181,9.7267,117204.6667,186178.0
19893,5695.365,9244.816,9213.6664,2167.474,996.46,2.0056,103.951,124.6,936.2667,5.2333,82.5197,9.0833,117493.6667,186602.3333
19894,5747.237,9263.033,9280.1172,2210.469,995.809,1.9947,103.546,125.8667,951.3333,5.3667,81.9263,8.6133,117774.3333,187017.6667
19901,5872.701,9364.259,9345.7291,2248.382,1010.838,1.9713,103.269,128.0333,974.1667,5.3,82.1761,8.25,119114.3333,188519.6667
19902,5960.028,9398.243,9410.6983,2304.16,1014.72,1.9527,102.795,129.3,980.8333,5.3333,82.1695,8.2433,118995.3333,188916.3333
19903,6015.116,9404.494,9474.2945,2350.024,1000.785,1.9298,102.522,131.5333,1003.1333,5.7,81.8775,8.16,118712.0,189352.6667
19904,6004.733,9318.876,9536.6607,2368.207,947.453,1.9068,102.515,133.7667,1018.7667,6.1333,80.1083,7.7433,118361.0,189866.3333
19911,6035.178,9275.276,9598.1338,2387.721,924.569,1.9109,102.235,134.7667,1014.1667,6.6,77.9846,6.4267,117782.3333,190271.6667
19912,6126.862,9347.597,9658.7723,2429.918,926.541,1.9006,102.078,135.5667,1021.7333,6.8333,78.0903,5.8633,117729.3333,190655.6667
19913,6205.937,9394.834,9719.0523,2464.541,947.476,1.8871,102.219,136.6,1024.4,6.8667,79.2156,5.6433,117660.0,191121.3333
19914,6264.54,9427.581,9779.6871,2501.877,978.788,1.8657,102.177,137.7333,1020.6667,7.1,79.1974,4.8167,117678.6667,191650.6667
19921,6363.102,9540.444,9840.9574,2566.552,956.817,1.8464,102.098,138.6667,1037.6667,7.3667,78.8379,4.0233,117958.3333,192074.6667
19922,6470.763,9643.893,9903.2242,2607.453,1013.084,1.8336,102.341,139.7333,1047.2,7.6,79.862,3.77,118406.6667,192506.6667
19923,6566.641,9739.185,9967.1893,2653.829,1024.162,1.821,102.285,140.8,1061.0333,7.6333,80.0819,3.2567,118753.0,193024.3333
19924,6680.803,9840.753,10032.2124,2709.331,1057.962,1.8097,102.448,142.0333,1074.8,7.3667,80.1231,3.0367,118833.6667,193615.6667
19931,6729.459,9857.185,10098.2893,2742.534,1083.829,1.7992,102.54,143.0667,1079.1333,7.1333,80.5712,3.04,119297.3333,194106.0
19932,6808.939,9914.565,10165.978,2784.412,1094.479,1.7921,102.872,144.1,1086.3333,7.0667,80.4369,3.0,119959.6667,194555.3333
19933,6882.098,9961.873,10234.6817,2838.023,1095.852,1.7874,102.974,144.7667,1092.5333,6.8,80.1822,3.06,120625.6667,195068.0
19934,7013.738,10097.362,10304.222,2873.579,1153.142,1.7828,103.161,145.9667,1105.3,6.6333,81.127,2.99,121152.0,195621.0
19941,7115.652,10195.338,10374.3207,2915.554,1201.675,1.7815,103.025,146.7,1116.8333,6.5667,81.5218,3.2133,121994.0,196085.3333
19942,7246.931,10333.495,10444.8719,2956.348,1264.948,1.7764,103.688,147.5333,1128.1,6.2,82.6904,3.94,122596.0,196522.0
19943,7331.075,10393.898,10516.4034,2993.87,1251.749,1.77,103.701,148.9,1149.6,6.0,83.0831,4.4867,123245.0,197050.0
19944,7455.288,10512.962,10588.5101,3031.873,1307.566,1.7635,103.545,149.7667,1163.0,5.6333,84.1697,5.1667,124449.6667,197600.6667
19951,7522.289,10550.251,10660.8512,3074.329,1327.586,1.7608,103.114,150.8667,1166.8667,5.4667,84.1047,5.81,124848.6667,197882.0
19952,7580.997,10581.723,10733.9241,3129.711,1303.988,1.749,102.535,152.1,1177.0,5.6667,83.2542,6.02,124629.3333,198295.6667
19953,7683.125,10671.738,10807.2352,3172.427,1303.248,1.7383,103.097,152.8667,1183.6667,5.6667,82.8261,5.7967,124933.6667,198807.0
19954,7772.586,10744.203,10882.1475,3211.762,1335.135,1.7241,103.06,153.7,1191.6333,5.5667,82.4916,5.72,125221.3333,199351.6667
19961,7868.468,10824.674,10958.2375,3259.617,1355.353,1.7089,102.529,155.0667,1211.1667,5.5333,81.6066,5.3633,125542.0,199776.0
19962,8032.84,11005.217,11038.9935,3304.626,1418.388,1.6858,102.847,156.4,1239.5333,5.5,82.2476,5.2433,126280.0,200279.3333
19963,8131.408,11103.935,11125.4637,3348.618,1474.35,1.6763,103.043,157.3,1246.5,5.2667,82.452,5.3067,127218.3333,200849.6667
19964,8259.771,11219.238,11217.5508,3394.838,1480.128,1.6576,103.233,158.6667,1268.3,5.3333,82.2956,5.28,127840.3333,201457.3333
19971,8362.655,11291.665,11315.1161,3446.497,1522.404,1.6452,103.317,159.6333,1281.0,5.2333,82.7629,5.2767,128495.6667,202395.6667
19972,8518.825,11479.33,11417.5148,3496.96,1590.218,1.632,103.219,160.0,1277.7333,5.0,82.6928,5.5233,129339.6667,202835.3333
19973,8662.823,11622.911,11525.0735,3559.055,1625.251,1.6211,103.326,160.8,1297.3333,4.8667,83.1887,5.5333,129950.3333,203366.6667
19974,8765.907,11722.722,11636.5249,3618.627,1644.529,1.6067,103.169,161.6667,1307.8,4.6667,83.7156,5.5067,130503.6667,203935.3333
19981,8866.48,11839.876,11751.2764,3676.961,1712.324,1.5935,103.258,162.0,1306.6667,4.6333,83.1161,5.52,130782.3333,204395.0
19982,8969.699,11949.492,11869.7764,3743.404,1695.773,1.5788,103.081,162.5333,1319.9,4.4,81.765,5.5,131259.3333,204905.0
19983,9121.097,12099.191,11990.4282,3806.982,1741.623,1.5633,102.764,163.3667,1334.8333,4.5333,80.8646,5.5333,131568.3333,205482.6667
19984,9293.991,12294.737,12113.2492,3847.889,1796.964,1.5499,103.522,164.1333,1355.1333,4.4333,81.0535,4.86,132293.6667,206097.6667
19991,9411.682,12410.778,12238.5118,3897.147,1853.063,1.5377,103.168,164.7333,1384.9667,4.3,80.8521,4.7333,132943.3333,206876.0
19992,9526.21,12514.408,12365.285,3957.569,1848.341,1.5213,103.071,165.9667,1418.2667,4.2667,80.6023,4.7467,133214.6667,207431.6667
19993,9686.626,12679.977,12493.7035,4024.047,1893.735,1.5037,103.152,167.2,1440.0667,4.2333,80.2136,5.0933,133570.6667,208043.6667
19994,9900.169,12888.281,12624.3398,4108.02,1953.097,1.4891,103.137,168.4333,1482.6667,4.0667,80.8811,5.3067,134275.0,208660.3333
20001,10002.179,12935.252,12756.1978,4205.131,1950.65,1.4752,103.015,170.1,1492.2,4.0333,80.7776,5.6767,136619.3333,211586.0
20002,10247.72,13170.749,12885.5495,4274.861,2075.786,1.4667,102.828,171.4333,1535.1,3.9333,80.772,6.2733,136946.6667,212242.0
20003,10318.165,13183.89,13010.0471,4350.834,2059.969,1.4528,102.666,173.0,1557.4667,4.0,79.7339,6.52,136695.3333,212918.6667
20004,10435.744,13262.25,13129.1448,4425.204,2067.227,1.4404,102.399,174.2333,1577.6,3.9,78.2838,6.4733,137341.3333,213560.3333
20011,10470.231,13219.251,13242.6261,4496.052,1971.333,1.4222,101.933,175.9,1572.4333,4.2333,76.2684,5.5933,137724.3333,214101.0
20012,10599.0,13301.394,13350.3998,4532.144,1973.033,1.4095,101.56,177.1333,1590.6333,4.4,74.5433,4.3267,137088.0,214735.6667
20013,10598.02,13248.142,13452.5044,4555.089,1944.909,1.4034,101.097,177.6333,1591.3667,4.8333,72.8865,3.4967,136719.3333,215421.6667
20014,10660.465,13284.881,13549.5783,4609.546,1850.091,1.3966,100.918,177.5,1581.9,5.5,71.7826,2.1333,136225.6667,216111.6667
20021,10783.5,13394.91,13642.0267,4655.831,1912.659,1.3831,100.951,178.0667,1585.6333,5.7,72.1619,1.7333,136105.3333,216664.0
20022,10887.46,13477.356,13731.5275,4721.022,1933.282,1.3657,101.335,179.4667,1609.5333,5.8333,73.0831,1.75,136360.0,217203.6667
20023,10984.04,13531.741,13819.4217,4778.693,1933.197,1.3504,101.12,180.4333,1616.7333,5.7333,73.6318,1.74,136806.6667,217867.6667
20024,11061.433,13549.421,13906.0731,4844.998,1942.531,1.3403,101.111,181.5,1641.8667,5.8667,73.5331,1.4433,136651.6667,218543.0
20031,11174.129,13619.434,13992.4845,4909.826,1960.221,1.3208,100.663,183.3667,1682.8,5.8667,73.9181,1.25,137444.3333,220109.3333
